Topic,Count,Name,Representation,Representative_Docs,Importance
15,39,15_even even_even_this even_even this,"['even even', 'even', 'this even', 'even this', 'even every', 'even like', 'every even', 'like even', 'would even', 'even doesnt']","['even', 'even even', 'even even']",0.009639149777558082
16,37,16_time time_time_this time_time this,"['time time', 'time', 'this time', 'time this', 'need time', 'time still', 'time need', 'know this', 'still thing', 'still time']","['This time', 'This time', 'time time']",0.009144834404349975
17,37,17_system_system player_system system_also system,"['system', 'system player', 'system system', 'also system', 'playing system', 'play system', 'system like', 'still system', 'system doesnt', 'even system']","['player system player player', 'system player', 'system player']",0.009144834404349975
18,36,18_dont player_player player_system dont_player system,"['dont player', 'player player', 'system dont', 'player system', 'player', 'player dont', 'dont', 'player every', 'system', 'play player']","['player player player', 'player player', 'player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player player system dont player dont player player']",0.008897676717745922
19,36,19_review_good review_issue review_review issue,"['review', 'good review', 'issue review', 'review issue', 'play review', 'issue', 'review dont', 'review review', 'want review', 'issue player']","['good good review youre review dont like would really really would like could also made like play play really much better cant really still review dont', 'review made issue better still character This issue issue player This made like issue every character need made player player time player feel point need want point dont make much thing made review also made youre better thing back review thing', 'really good review issue issue review play story play really']",0.008897676717745922
20,36,20_hour_play hour_hour play_played hour,"['hour', 'play hour', 'hour play', 'played hour', 'hour played', 'know hour', 'hour playing', 'hour even', 'hour like', 'played']","['play hour', 'play hour', 'much hour like know hour play play hour hour work work']",0.008897676717745922
21,36,21_good good_good_good this_this good,"['good good', 'good', 'good this', 'this good', 'this', '', '', '', '', '']","['good', 'good', 'good good']",0.008897676717745922
22,34,22_year_year play_play year_like year,"['year', 'year play', 'play year', 'like year', 'year feel', 'still year', 'year year', 'doesnt really', 'would year', 'feel could']","['would year play', 'year good like doesnt really need need feel like play feel like content also doesnt really year content want every like This doesnt year year', 'like This need review year play issue much doesnt good play many great year would know even time would year play cant year youre']",0.008403361344537815
23,34,23_play play_play_really play_play really,"['play play', 'play', 'really play', 'play really', 'know play', 'play know', 'really', 'know', '', '']","['play', 'play', 'play']",0.008403361344537815
24,34,24_issue_play issue_issue play_issue issue,"['issue', 'play issue', 'issue play', 'issue issue', 'issue want', 'issue even', 'play', 'content', 'people issue', 'played issue']","['issue many time every play work issue people still play even know good', 'play This issue issue even', 'work many people issue issue want people play make play']",0.008403361344537815
